date,project,source,run_type,session_reference_id,session_id,uncached_tokens,total_tokens,input_tokens,output_tokens,tool_calls,retry_loops,efficiency,reliability,composite,estimated_cost_usd,verdict,report_path
2026-02-28,bass-agents,codex,real,auto-20260228-153801-9105,019ca5f8-f248-71b3-9848-5ee6454c2bd3,313974,2504438,280560,33414,57,7,9.09,84.0,38.76,0,fail,/Users/jackbishop/dev/bass-agents/session-reviews/bass-agents/2026-02-28-codex-session-review-153801-auto-20260228-153801-9105.md
2026-02-28,bass-agents,codex,real,auto-20260228-160506-21886,019ca611-bed3-7823-8edc-a0c56c5b262f,24270,107982,21822,2448,19,2,26.0,84.0,63.7,0,pass,/Users/jackbishop/dev/bass-agents/session-reviews/bass-agents/2026-02-28-codex-session-review-160506-auto-20260228-160506-21886.md
2026-02-28,bass-agents,codex,real,auto-20260228-160613-24322,019ca611-bed3-7823-8edc-a0c56c5b262f,24270,107982,21822,2448,19,2,26.0,84.0,63.7,0,pass,/Users/jackbishop/dev/bass-agents/session-reviews/bass-agents/2026-02-28-codex-session-review-160613-auto-20260228-160613-24322.md
2026-02-28,bass-agents,codex,real,auto-20260228-160828-26584,019ca614-d39c-76f1-a222-59110b591ee6,1594756,17407364,1486986,107770,232,6,10.0,84.0,43.7,0,fail,/Users/jackbishop/dev/bass-agents/session-reviews/bass-agents/2026-02-28-codex-session-review-160828-auto-20260228-160828-26584.md
2026-02-28,bass-agents,claude,real,auto-20260228-165057-18515,eebe59a2-c031-4e85-bd3c-922cf9953c4e,0,0,0,0,0,0,100.0,76.0,95.2,0.0,pass,/Users/jackbishop/dev/bass-agents/session-reviews/bass-agents/2026-02-28-claude-session-review-165057-auto-20260228-165057-18515.md
2026-02-28,bass-agents,claude,real,auto-20260228-165110-2044,eebe59a2-c031-4e85-bd3c-922cf9953c4e,0,0,0,0,0,0,100.0,76.0,95.2,0.0,pass,/Users/jackbishop/dev/bass-agents/session-reviews/bass-agents/2026-02-28-claude-session-review-165110-auto-20260228-165110-2044.md
2026-02-28,bass-agents,claude,real,auto-20260228-165200-15559,eebe59a2-c031-4e85-bd3c-922cf9953c4e,0,0,0,0,0,0,100.0,76.0,95.2,0.0,pass,/Users/jackbishop/dev/bass-agents/session-reviews/bass-agents/2026-02-28-claude-session-review-165200-auto-20260228-165200-15559.md
2026-02-28,bass-agents,codex,real,auto-20260228-165442-7942,019ca63f-297c-7fe2-9077-4752a9e021f4,820744,10033416,725352,95392,174,7,10.0,84.0,40.1,0,fail,/Users/jackbishop/dev/bass-agents/session-reviews/bass-agents/2026-02-28-codex-session-review-165442-auto-20260228-165442-7942.md
2026-02-28,bass-agents,codex,real,auto-20260228-174630-17809,019ca66e-9818-7e00-b4ba-d784ef915c3e,913920,8635904,836744,77176,164,7,10.0,84.0,40.1,0,fail,/Users/jackbishop/dev/bass-agents/session-reviews/bass-agents/2026-02-28-codex-session-review-174630-auto-20260228-174630-17809.md
2026-03-01,bass-agents,codex,real,auto-20260301-134940-3483,019caabc-1ad0-7dd3-a85b-54ec3d56fded,51669,391253,41554,10115,27,5,14.0,84.0,48.7,0,warn,/Users/jackbishop/dev/bass-agents/session-reviews/bass-agents/2026-03-01-codex-session-review-134940-auto-20260301-134940-3483.md
2026-03-01,bass-agents,codex,real,auto-20260301-140830-32370,019caacd-5e0d-7251-93f4-74e4563e2cb9,86470,489542,73593,12877,30,3,14.5,84.0,56.08,0,pass,/Users/jackbishop/dev/bass-agents/session-reviews/bass-agents/2026-03-01-codex-session-review-140830-auto-20260301-140830-32370.md
2026-03-01,bass-agents,codex,real,auto-20260301-142248-784,019caada-72f7-7de0-8d2d-1606eff2db44,14669,63821,12747,1922,5,1,34.83,84.0,70.39,0,pass,/Users/jackbishop/dev/bass-agents/session-reviews/bass-agents/2026-03-01-codex-session-review-142248-auto-20260301-142248-784.md
2026-03-01,bass-agents,codex,real,auto-20260301-142642-15284,019caade-04d6-7b03-b94b-efa8d5680f77,49432,494232,35700,13732,32,1,25.5,84.0,67.12,0,pass,/Users/jackbishop/dev/bass-agents/session-reviews/bass-agents/2026-03-01-codex-session-review-142642-auto-20260301-142642-15284.md
2026-03-01,bass-agents,codex,real,auto-20260301-141426-7355,019caade-04d6-7b03-b94b-efa8d5680f77,49432,494232,35700,13732,32,1,25.5,84.0,67.12,0,pass,/Users/jackbishop/dev/bass-agents/session-reviews/bass-agents/2026-03-01-codex-session-review-141426-auto-20260301-141426-7355.md
2026-03-01,bass-agents,claude,real,auto-20260301-143647-22206,feae6a77-e038-42ef-b2f6-36e6786c1dc5,16939,409780,31,1581,9,0,40.0,96.0,78.2,0.331894,pass,/Users/jackbishop/dev/bass-agents/session-reviews/bass-agents/2026-03-01-claude-session-review-143647-auto-20260301-143647-22206.md
